year,number,month,state
1998,0,Janeiro,Acre
1999,0,Janeiro,Acre
2000,0,Janeiro,Acre
2001,0,Janeiro,Acre
2002,0,Janeiro,Acre
2003,14,Janeiro,Acre
2004,0,Janeiro,Acre
2005,20,Janeiro,Acre
2006,7,Janeiro,Acre
2007,1,Janeiro,Acre
2008,0,Janeiro,Acre
2009,0,Janeiro,Acre
2010,1,Janeiro,Acre
2011,2,Janeiro,Acre
2012,1,Janeiro,Acre
2013,0,Janeiro,Acre
2014,0,Janeiro,Acre
2015,3,Janeiro,Acre
2016,13,Janeiro,Acre
2017,0,Janeiro,Acre
2018,0,Janeiro,Acre
2019,1,Janeiro,Acre
2020,16,Janeiro,Acre
2021,5,Janeiro,Acre
1998,0,Fevereiro,Acre
1999,0,Fevereiro,Acre
2000,0,Fevereiro,Acre
2001,0,Fevereiro,Acre
2002,1,Fevereiro,Acre
2003,0,Fevereiro,Acre
2004,4,Fevereiro,Acre
2005,0,Fevereiro,Acre
2006,1,Fevereiro,Acre
2007,14,Fevereiro,Acre
2008,0,Fevereiro,Acre
2009,2,Fevereiro,Acre
2010,0,Fevereiro,Acre
2011,0,Fevereiro,Acre
2012,0,Fevereiro,Acre
2013,0,Fevereiro,Acre
2014,0,Fevereiro,Acre
2015,2,Fevereiro,Acre
2016,2,Fevereiro,Acre
2017,4,Fevereiro,Acre
2018,2,Fevereiro,Acre
2019,1,Fevereiro,Acre
2020,0,Fevereiro,Acre
2021,0,Fevereiro,Acre
1998,0,Março,Acre
1999,0,Março,Acre
2000,11,Março,Acre
2001,0,Março,Acre
2002,0,Março,Acre
2003,0,Março,Acre
2004,0,Março,Acre
2005,5,Março,Acre
2006,0,Março,Acre
2007,5,Março,Acre
2008,1,Março,Acre
2009,0,Março,Acre
2010,1,Março,Acre
2011,0,Março,Acre
2012,0,Março,Acre
2013,0,Março,Acre
2014,1,Março,Acre
2015,1,Março,Acre
2016,0,Março,Acre
2017,0,Março,Acre
2018,1,Março,Acre
2019,2,Março,Acre
2020,1,Março,Acre
2021,0,Março,Acre
1998,0,Abril,Acre
1999,0,Abril,Acre
2000,1,Abril,Acre
2001,0,Abril,Acre
2002,0,Abril,Acre
2003,5,Abril,Acre
2004,9,Abril,Acre
2005,2,Abril,Acre
2006,2,Abril,Acre
2007,8,Abril,Acre
2008,1,Abril,Acre
2009,2,Abril,Acre
2010,10,Abril,Acre
2011,4,Abril,Acre
2012,3,Abril,Acre
2013,46,Abril,Acre
2014,7,Abril,Acre
2015,3,Abril,Acre
2016,1,Abril,Acre
2017,1,Abril,Acre
2018,5,Abril,Acre
2019,6,Abril,Acre
2020,4,Abril,Acre
